,Anomaly Detection,Defect Classification,Defect Localization,Defect Description,Defect Analysis,Object Classification,Object Analysis,Average,Recall,Precision,F1,Overkill,Miss
DS-MVTec,81.32786051325229,77.09543568464731,69.23721709974853,82.60511129431163,92.69709543568464,99.78448275862068,90.8558888076079,84.80044165626758,87.60195758564437,90.25210084033614,88.90728476821192,24.94623655913979,12.398042414355626
MVTec-LOCO,63.955799977481284,60.59063136456212,53.66598778004074,68.99383983572895,80.18867924528303,92.46323529411765,78.18853974121997,71.1495304626334,57.056451612903224,77.21691678035471,65.6231884057971,29.144851657940663,42.943548387096776
VisA,66.41716399017805,58.4873949579832,45.86466165413533,67.05882352941175,77.04213241616509,95.6149732620321,82.39486813970063,70.41143113565802,69.94991652754591,70.53872053872054,70.2430846605197,37.115588547189816,30.05008347245409
GoodsAD,58.16184570850409,63.045141545524096,51.100733822548364,70.50413844996237,81.98074277854195,91.69435215946844,79.55156950672647,70.86264628161082,54.864532019704434,64.70588235294117,59.380206597800736,38.54084060269627,45.135467980295566
Average,67.46566754735393,64.80465088817918,54.96715008911824,72.29047827735369,82.97716246891868,94.88926086855972,82.74771654881374,74.30601238404245,67.36821443644948,75.67840512808814,71.03844110808237,32.43687934174164,32.631785563550515
