,Anomaly Detection,Defect Classification,Defect Localization,Defect Description,Defect Analysis,Object Classification,Object Analysis,Average,Recall,Precision,F1,Overkill,Miss
DS-MVTec,65.64068831237174,60.16597510373444,58.34031852472757,79.80214344600165,89.5435684647303,73.92241379310344,86.61302121433798,73.43258983700102,70.63621533442088,82.55481410867492,76.13186813186813,39.35483870967742,29.363784665579118
MVTec-LOCO,49.82433640150875,32.89205702647658,47.35234215885947,60.26694045174538,75.36687631027253,86.76470588235294,76.46333949476278,61.27579967513977,36.99596774193548,63.16695352839932,46.662428480610295,37.347294938917976,63.00403225806453
VisA,63.54462279833657,45.88235294117647,58.22890559732665,68.90756302521008,75.06448839208943,80.64171122994652,73.98431931575196,66.60770904283396,55.509181969949914,71.27545551982851,62.41201313937118,28.419936373276776,44.490818030050086
GoodsAD,52.661229266105536,56.21662852784134,47.54316069057105,76.36909227306826,81.16438356164383,83.15441783649877,74.13127413127413,67.32002661242898,21.949724095646843,62.91739894551846,32.54545454545455,16.627265563435778,78.05027590435316
Average,57.917719194580656,48.78925339980721,52.866181742871184,71.33643479900634,80.28482918218401,81.12081218547542,77.7979885390317,67.15903129185094,46.27277228548828,69.9786555256053,54.43794107432605,30.43733389632699,53.72722771451172
